name,customer_name,alias,customer_type,customer_group,territory,payment_terms,default_currency,tax_id,primary_address,customer_primary_contact,disabled
KH-00217,NGUYỄN CHÍ LINH,Nguyễn CHÍ LINH,Company,,Việt Nam,,VND,,"346 Phan Đăng Lưu, Phường Phú An, TP.HCM",,0
KH-00218,Công ty KKumsoi - chị Thuỷ,Kkumsoi Chị Thuỷ,Company,,Việt Nam,,VND,,,,0
KH-00219,Cơm quê cô ba - Đậm vị quê nhà,Cô Ba Đậm Vị Quê Nhà,Company,,Việt Nam,,VND,,"71 Đường 9a kdc trung sơn, xã bình hưng, huyện bình chánh, TP HCM",,0
KH-00220,HỘ KINH DOANH HƯƠNG THỦY,HỘ KINH DOANH Hương Thủy,Individual,,Việt Nam,,VND,,"Ấp Bình Hữu 1, Xã Đức Hòa Thượng, Huyện Đức Hòa, Tỉnh Long An",,0
KH-00221,CÔNG TY TNHH BH NUTRITION,BH NUTRITION,Company,,Việt Nam,,VND,0314073545,"256/33A đường Thạnh Xuân 25, phường Thạnh Xuân, Quận 12, TP Hồ Chí Minh",,0
KH-00222,Túi bánh tráng campuchia,Túi Bánh Tráng Campuchia,Company,,Việt Nam,,VND,,,,0
KH-00223,CƠ SỞ CƠM CHÁY CHÀ BÔNG TÀI PHƯƠNG,Cháy CHÀ Bông TÀI Phương,Individual,,Việt Nam,,VND,,"Ấp Bờ Kinh, Xã Tân Đông, Huyện Gò Công Đông, Tiền Giang",,0
KH-00224,Thái Thi Thu Thuỷ,Thái Thi Thu Thuỷ,Company,,Việt Nam,,VND,,397A Nguyễn Huệ - phường Trần Phú - Tp Quy Nhơn - Tỉnh Bình Định,,0
KH-00225,KO CÓ THÔNG TIN,Không XÁC Định,Company,,Việt Nam,,VND,KHÁCH,,,1
KH-00226,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI BAO BÌ KOVAA,KOVAA,Company,,Việt Nam,,VND,0319057988,"Số 79/16, Đường TL08, Khu phố 3A, Phường An Phú Đông, TP Hồ Chí Minh",,0
KH-00227,Hộ Kinh Thảo Phương,LIKE,Company,,Việt Nam,,VND,,"1/3 Khóm Thới An A, Phường Mỹ Thạnh ,Thành phố Long Xuyên ,Tỉnh An Giang ,Việt Nam",,0
KH-00228,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI LINH CHUNG,LINH CHUNG,Company,,Việt Nam,,VND,1101318601,"Ấp 1B An Thạnh, Xã Bến Lức, Tây Ninh",,0
KH-00229,CÔNG TY TNHH SẢN XUẤT IN ẤN BAO BÌ MIỀN NAM,MIEN NAM,Company,,Việt Nam,,VND,0312579784,"13/10 liên khu 8-9, KP 9, Phường Bình Hưng Hòa, TP Hồ Chí Minh",,0
KH-00230,CÔNG TY TNHH SX TM TỔNG HỢP HK MIỀN TÂY,MIENTAY,Company,,Việt Nam,,VND,0319346228,"F4/16G ấp 72, Xã Vĩnh Lộc, TP Hồ Chí Minh",,0
KH-00231,CÔNG TY TNHH SX - TM - DV MINH ĐỨC,MINH DUC,Company,,Việt Nam,,VND,3703290756,"Số nhà 288/43/26A đường Huỳnh Văn Lũy, Phường Phú Lợi, TP Hồ Chí Minh",,0
KH-00232,CÔNG TY TNHH SX TM BAO BÌ MINH HUY LONG,MINHHUYLONG,Company,,Việt Nam,,VND,,"D5/177A Đường Tân Long, Ấp 4, Xã Tân Nhựt, Xã Bình Chánh, TPHCM",,0
KH-00233,CÔNG TY TNHH HÓA PHẨM TỔNG HỢP VŨ GIA,MIRO Dương,Company,,Việt Nam,,VND,,"Cốc Lùng Mới, Xã Nam Cường ,Tỉnh Thái Nguyên",,0
KH-00234,CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI PHẠM LÊ,MOON,Company,,Việt Nam,,VND,,"Số 6 ,ngách 111, ngõ 68, đường Cấu Giấy, Phường Nghĩa Đô,TP. Hà Nội",,0
KH-00235,CÔNG TY TNHH HÓA MỸ PHẨM VIỆT MỸ,MRA,Company,,Việt Nam,,VND,,"37 Xóm Guốc , P.Phú Thọ , Tp.Thủ Dầu Một , Bình Dương",,0
KH-00236,Anh Luân - Túi in lụa mặt trời bé con,MTBC Anh Luân,Individual,,Việt Nam,,VND,,"28 Nguyễn Ngọc Lộc, P.6, Quận 10, TPHCM",,0
KH-00237,CÔNG TY CỔ PHẦN HÓA CHẤT SAVINA,MYCOME,Company,,Việt Nam,,VND,,"A3-01 ĐƯỜNG PHÂN PHU BẮC, KHU LAVILLA TRẦN ANH, P6, TP TÂN AN, LONG AN",,0
KH-00238,CÔNG TY CỔ PHẦN THƯƠNG MẠI NAGICO,NAGICO,Company,,Việt Nam,,VND,,"62/9 Nguyễn Văn Cừ nối dài, phường An Bình, quận Ninh Kiều, TP. Cần Thơ",,0
KH-00239,CÔNG TY TNHH MỘT THÀNH VIÊN ĐĂNG DI,NALDID,Company,,Việt Nam,,VND,,"Thôn 4 . Eawer , buôn đôn , đăklak",,0
KH-00240,Phạm Thị Kim Nhung,NAMTAU,Company,,Việt Nam,,VND,,,,0
KH-00241,CÔNG TY TNHH NƯỚC GIẶT NAM THỊNH PHÁT,NAMTHINHPHAT,Company,,Việt Nam,,VND,1801762065,"Lô C7 Khu trung tâm thương mại Ấp Vĩnh Tiến, Xã Vĩnh Thạnh, TP Cần Thơ",,0
KH-00242,CÔNG TY CỔ PHẦN SẢN XUẤT NATURE,NATURE,Company,,Việt Nam,,VND,0901157359,"Thôn Đông Mai, Xã Lạc Đạo, Hưng Yên",,0
KH-00245,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT DỊCH VỤ VÀ THƯƠNG MẠI NGUYỄN GIA,NGUYENGIA,Company,,Việt Nam,,VND,,"75 Nguyễn Đức Cảnh, Phường Hiệp An, Bến Cát, Bình Dương",,0
