bom_no,item_code,item_name,qty,uom,scrap_pct,note
BOM-BTP-00001-001,NVL-00004,PE sữa K750 190mic,135.2,Kg,2.0,Lớp màng hàn dán trong cùng
BOM-BTP-00001-001,NVL-00025,Keo D-9700,3.6,Kg,3.0,Định mức keo ghép 2 lớp màng
BOM-BTP-00001-001,NVL-00026,Chất Đóng Rắn CL-3192K,0.72,Kg,3.0,Chất đóng rắn Isocyanate
BOM-BTP-00001-001,NVL-00027,Dung Môi Ethyl Acetate,5.4,Kg,5.0,Dung môi pha keo ghép màng khô
BOM-BTP-00002-001,NVL-00029,PET in 888 - Huyền Bí,1020.0,m,2.0,Lớp màng ngoài in ống đồng
BOM-BTP-00002-001,NVL-00009,PA K800 15mic,13.9,Kg,2.0,Lớp màng rào cản PA dẻo dai
BOM-BTP-00002-001,NVL-00004,PE sữa K750 190mic,135.2,Kg,2.0,Lớp màng hàn dán trong cùng
BOM-BTP-00002-001,NVL-00025,Keo D-9700,3.6,Kg,3.0,Định mức keo ghép 2 lớp màng
BOM-BTP-00002-001,NVL-00026,Chất Đóng Rắn CL-3192K,0.72,Kg,3.0,Chất đóng rắn Isocyanate
BOM-BTP-00002-001,NVL-00027,Dung Môi Ethyl Acetate,5.4,Kg,5.0,Dung môi pha keo ghép màng khô
BOM-BTP-00003-001,NVL-00030,PET in 888 - Đam Mê,1020.0,m,2.0,Lớp màng ngoài in ống đồng
BOM-BTP-00003-001,NVL-00009,PA K800 15mic,13.9,Kg,2.0,Lớp màng rào cản PA dẻo dai
BOM-BTP-00003-001,NVL-00004,PE sữa K750 190mic,135.2,Kg,2.0,Lớp màng hàn dán trong cùng
BOM-BTP-00003-001,NVL-00025,Keo D-9700,3.6,Kg,3.0,Định mức keo ghép 2 lớp màng
BOM-BTP-00003-001,NVL-00026,Chất Đóng Rắn CL-3192K,0.72,Kg,3.0,Chất đóng rắn Isocyanate
BOM-BTP-00003-001,NVL-00027,Dung Môi Ethyl Acetate,5.4,Kg,5.0,Dung môi pha keo ghép màng khô
BOM-BTP-00004-001,NVL-00031,PET in NGCS Đỏ - Tím,1020.0,m,2.0,Lớp màng ngoài in ống đồng
BOM-BTP-00004-001,NVL-00009,PA K800 15mic,13.9,Kg,2.0,Lớp màng rào cản PA dẻo dai
BOM-BTP-00004-001,NVL-00004,PE sữa K750 190mic,135.2,Kg,2.0,Lớp màng hàn dán trong cùng
BOM-BTP-00004-001,NVL-00025,Keo D-9700,3.6,Kg,3.0,Định mức keo ghép 2 lớp màng
BOM-BTP-00004-001,NVL-00026,Chất Đóng Rắn CL-3192K,0.72,Kg,3.0,Chất đóng rắn Isocyanate
BOM-BTP-00004-001,NVL-00027,Dung Môi Ethyl Acetate,5.4,Kg,5.0,Dung môi pha keo ghép màng khô
