item_code,item_name,custom_structure_layers,custom_thickness_mic,custom_film_width_mm,custom_pouch_width_mm,custom_pouch_length_mm,custom_gusset_mm,custom_cut_length_mm,custom_print_tech,custom_accessory_spec,custom_cylinder_item,custom_cylinder_code,custom_cylinder_length_mm,custom_cylinder_circ_mm,custom_cylinder_qty,custom_cylinder_location
TRUC-G4005897,Bộ trục in ống đồng 888 2Kg - (G4005897),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4005897,750.0,484.0,0,Kho VẠN PHÁT
TRUC-G4005893,Bộ trục in ống đồng 888 2Kg - (G4005893),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4005893,750.0,484.0,0,Kho VẠN PHÁT
TRUC-G4006677,Bộ trục in ống đồng 888 2Kg - (G4006677),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4006677,750.0,484.0,0,Kho VẠN PHÁT
TRUC-G4006905,Bộ trục in ống đồng Premium 3.2Kg Tím (G4006905),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4006905,800.0,564.0,0,Kho KIẾN TÂM
TRUC-G4006924,Bộ trục in ống đồng Premium 3.2Kg Đỏ (G4006924),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4006924,800.0,564.0,0,Kho VẠN PHÁT
TRUC-Z417582,Bộ trục in ống đồng Masa (Z417582),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z417582,900.0,568.0,0,Kho VẠN PHÁT
TRUC-G631383,Bộ trục in ống đồng Yumi Care 3.6L (G631383),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G631383,900.0,568.0,0,Kho VẠN PHÁT
TRUC-G4002697,Bộ trục in ống đồng Sofia 3Kg Xanh (G4002697),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G4002697,850.0,526.0,0,Kho VẠN PHÁT
TRUC-Z418556,Bộ trục in ống đồng Clean (Cleanz) 3.6L (Z418556),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z418556,900.0,568.0,0,Kho VẠN PHÁT
TRUC-G630657,Bộ trục in ống đồng Clean (Cleanz) 2L (G630657),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G630657,800.0,466.0,0,Kho VẠN PHÁT
TRUC-G628929,Bộ trục in ống đồng Mè Vỏ Minh (G628929),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G628929,800.0,440.0,0,Kho VẠN PHÁT
TRUC-G631044,Bộ trục in ống đồng Cà Phê Bảo (G631044),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G631044,800.0,550.0,0,Kho VẠN PHÁT
TRUC-G630788,Bộ trục in ống đồng Cà Phê Việt (G630788),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G630788,800.0,468.0,0,Kho VẠN PHÁT
TRUC-G628231,Bộ trục in ống đồng Thức Ăn Cho (G628231),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G628231,800.0,480.0,0,Kho VẠN PHÁT
TRUC-G628230,Bộ trục in ống đồng Thức Ăn Cho (G628230),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G628230,800.0,480.0,0,Kho VẠN PHÁT
TRUC-G627954,Bộ trục in ống đồng Muối Tôm Muối (G627954),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G627954,800.0,460.0,0,Kho VẠN PHÁT
TRUC-G630103,Bộ trục in ống đồng Hạt Hướng Dương (G630103),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G630103,800.0,540.0,0,Kho VẠN PHÁT
TRUC-G630102,Bộ trục in ống đồng Hạt Hướng Dương (G630102),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G630102,800.0,540.0,0,Kho VẠN PHÁT
TRUC-G628207,Bộ trục in ống đồng Đựng Tiêu 50G (G628207),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G628207,800.0,480.0,0,Kho VẠN PHÁT
TRUC-Z417825,Bộ trục in ống đồng Sữa Nutri (Z417825),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z417825,800.0,510.0,0,Kho VẠN PHÁT
TRUC-G630368,Bộ trục in ống đồng Bột Lá Tía (G630368),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G630368,800.0,500.0,0,Kho VẠN PHÁT
TRUC-G628866,Bộ trục in ống đồng Cơm Cháy Tường (G628866),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G628866,800.0,520.0,0,Kho VẠN PHÁT
TRUC-G630100,Bộ trục in ống đồng Hạt Dưa Sạch (G630100),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G630100,800.0,510.0,0,Kho VẠN PHÁT
TRUC-G630101,Bộ trục in ống đồng Hạt Dưa Sạch (G630101),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G630101,800.0,510.0,0,Kho VẠN PHÁT
TRUC-G630755,Bộ trục in ống đồng Hạt Dưa Sạch (G630755),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G630755,800.0,540.0,0,Kho VẠN PHÁT
TRUC-G630756,Bộ trục in ống đồng Hạt Dưa Sạch (G630756),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G630756,800.0,640.0,0,Kho VẠN PHÁT
TRUC-G630758,Bộ trục in ống đồng Hướng Dương Sạch (G630758),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G630758,800.0,420.0,0,Kho VẠN PHÁT
TRUC-G630757,Bộ trục in ống đồng Hướng Dương Sạch (G630757),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G630757,800.0,420.0,0,Kho VẠN PHÁT
TRUC-G629977,Bộ trục in ống đồng Cơm Cháy Chà (G629977),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G629977,800.0,500.0,0,Kho VẠN PHÁT
TRUC-G631221,Bộ trục in ống đồng Bánh Wawel (G631221),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G631221,800.0,440.0,0,Kho VẠN PHÁT
TRUC-G630072,Bộ trục in ống đồng Bột Minh Châu (G630072),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G630072,900.0,420.0,0,Kho VẠN PHÁT
TRUC-G631016,Bộ trục in ống đồng Bánh Solidarnosc (G631016),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G631016,800.0,480.0,0,Kho VẠN PHÁT
TRUC-G627906,Bộ trục in ống đồng Sữa Đậu Nành (G627906),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G627906,900.0,440.0,0,Kho VẠN PHÁT
TRUC-G631015,Bộ trục in ống đồng Bánh Feodora (G631015),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,G631015,900.0,540.0,0,Kho VẠN PHÁT
TRUC-Z416438,Bộ trục in ống đồng Ốc Cooked Whole (Z416438),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z416438,750.0,474.0,0,Kho VẠN PHÁT
TRUC-Z416476,Bộ trục in ống đồng Sốt Gia Vị (Z416476),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z416476,750.0,480.0,0,Kho VẠN PHÁT
TRUC-Z433654,Bộ trục in ống đồng Da Cá Sấy (Z433654),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z433654,720.0,546.0,0,Kho VẠN PHÁT
TRUC-Z416475,Bộ trục in ống đồng Sốt Gia Vị (Z416475),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z416475,750.0,480.0,0,Kho VẠN PHÁT
TRUC-Z434004,"Bộ trục in ống đồng Màng "" Nước (Z434004)",Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z434004,700.0,510.0,0,Kho VẠN PHÁT
TRUC-Z434003,"Bộ trục in ống đồng Màng "" Nước (Z434003)",Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z434003,700.0,510.0,0,Kho VẠN PHÁT
TRUC-Z416685,"Bộ trục in ống đồng Sò Điệp ""Whole (Z416685)",Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z416685,750.0,540.0,0,Kho VẠN PHÁT
TRUC-Z435796,Bộ trục in ống đồng Chả Cá Chiên (Z435796),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z435796,700.0,424.0,0,Kho VẠN PHÁT
TRUC-Z416686,"Bộ trục in ống đồng Ốc "" Bulot (Z416686)",Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z416686,750.0,540.0,0,Kho VẠN PHÁT
TRUC-Z436110,Bộ trục in ống đồng Bột Phô Mai (Z436110),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z436110,650.0,620.0,0,Kho VẠN PHÁT
TRUC-Z434196,Bộ trục in ống đồng Kem Hoa Vàng (Z434196),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z434196,650.0,570.0,0,Kho VẠN PHÁT
TRUC-Z435698,Bộ trục in ống đồng Kem Hoa Vàng (Z435698),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z435698,650.0,570.0,0,Kho TRANG TÍN
TRUC-Z439843,Bộ trục in ống đồng Kem Hoa Vàng (Z439843),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z439843,650.0,570.0,0,Kho VẠN PHÁT
TRUC-Z437016,Bộ trục in ống đồng Hạt Sáp Wax (Z437016),Thép mạ đồng crom,0,0,0,0,0,0,In trục ống đồng,,,Z437016,700.0,488.0,0,Kho VẠN PHÁT
