item_code,item_name,custom_alias,item_group,stock_uom,brand,default_material_request_type,standard_rate,min_order_qty,safety_stock,disabled,is_stock_item,is_sales_item,is_purchase_item,custom_structure_layers,custom_thickness_mic,custom_film_width_mm,custom_pouch_width_mm,custom_pouch_length_mm,custom_gusset_mm,custom_cut_length_mm,custom_print_tech,custom_accessory_spec,custom_cylinder_item,custom_cylinder_code,custom_cylinder_length_mm,custom_cylinder_circ_mm,custom_cylinder_qty,custom_cylinder_location,description
TRUC-G630102,TÚI HẠT HƯỚNG DƯƠNG SẠCH RANG CỦI LOẠI 500G,Trục HẠT HƯỚNG DƯƠNG SẠCH RANG CỦI LOẠI 500G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G630102,800,540,6,VẠN PHÁT,
TRUC-G628207,CUỘN MÀNG ĐỰNG TIÊU 50G,Trục Cuộn MÀNG ĐỰNG TIÊU 50G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G628207,800,480,5,VẠN PHÁT,
TRUC-Z417825,CUỘN MÀNG SỮA NUTRI,Trục Cuộn MÀNG SỮA NUTRI,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z417825,800,510,9,VẠN PHÁT,
TRUC-G630368,"CUỘN MÀNG BỘT LÁ TÍA TÔ, BỘT CẦN TÂY 5G","Trục Cuộn MÀNG BỘT LÁ TÍA TÔ, BỘT CẦN TÂY 5G",Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G630368,800,500,6,VẠN PHÁT,
TRUC-G628866,TÚI ĐỰNG CƠM CHÁY TƯỜNG DƯƠNG,Trục ĐỰNG CƠM CHÁY TƯỜNG DƯƠNG,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G628866,800,520,3,VẠN PHÁT,
TRUC-G630100,TÚI HẠT DƯA SẠCH RANG CỦI 500G,Trục HẠT DƯA SẠCH RANG CỦI 500G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G630100,800,510,6,VẠN PHÁT,
TRUC-G630101,TÚI HẠT DƯA SẠCH RANG CỦI LOẠI ĐẶC BIỆT 500G,Trục HẠT DƯA SẠCH RANG CỦI LOẠI ĐẶC BIỆT 500G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G630101,800,510,1,VẠN PHÁT,
TRUC-G630755,TÚI HẠT DƯA SẠCH RANG CỦI 500G,Trục HẠT DƯA SẠCH RANG CỦI 500G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G630755,800,540,6,VẠN PHÁT,
TRUC-G630756,TÚI HẠT DƯA SẠCH RANG CỦI LOẠI ĐẶC BIỆT 500G,Trục HẠT DƯA SẠCH RANG CỦI LOẠI ĐẶC BIỆT 500G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G630756,800,640,1,VẠN PHÁT,
TRUC-G630758,TÚI HƯỚNG DƯƠNG SẠCH RANG CỦI LOẠI ĐẶC BIỆT 500G,Trục HƯỚNG DƯƠNG SẠCH RANG CỦI LOẠI ĐẶC BIỆT 500G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G630758,800,420,1,VẠN PHÁT,
